name,fide_id,date_of_birth,birthplace,died,title_year,federation,gender,notes,links,latitude,longitude
"Babaev, Rashad",13400681,1981-09-03,"Baku, Azerbaijan",NA,2007,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400681,40.359646745807,49.8342976194991
"Bajarani, Ulvi",13403028,1995-01-27,"Baku, Azerbaijan",NA,2013,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13403028,40.3465579352467,49.8573763020708
"Gadimbayli, Abdulla",13404938,2002-01-02,"Baku, Azerbaijan",NA,2022,Azerbaijan,Male,IM    winner 2022 World Junior Chess Championship,https://ratings.fide.com/profile/13404938,40.3547531558046,49.8269145612697
"Gashimov, Vugar",13400630,1986-07-24,"Baku, Azerbaijan",2014-01-11,2002,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400630,40.3592477774419,49.8388475168821
"Guliev, Sarhan",13400231,1968-04-01,"Baku, Azerbaijan",NA,1995,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400231,40.3688810330149,49.8516889640687
"Guseinov, Aidyn",13400169,1955-11-30,"Baku, Azerbaijan",2003-10-30,1998,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400169,40.3632271438776,49.8402012163865
"Ibrahimov, Rasul",13400495,1981-08-13,"Baku, Azerbaijan",NA,2005,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400495,40.3848759669051,49.8590684084546
"Magerramov, Elmar",13400142,1958-04-10,"Baku, Azerbaijan",NA,1992,Azerbaijan,Male,[note 63],https://ratings.fide.com/profile/13400142,40.3872638780097,49.8120016093737
"Mamedov, Rauf",13401653,1988-04-26,"Baku, Azerbaijan",NA,2004,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401653,40.3774552911831,49.8258595072849
"Mammadov, Zaur",13401033,1994-04-16,"Baku, Azerbaijan",NA,2015,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401033,40.3780344962687,49.8154611316136
"Mirzoev, Azer",13400304,1978-03-28,"Baku, Azerbaijan",NA,2001,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400304,40.3868679613838,49.827607894237
"Muradli, Mahammad",13409301,2003-08-01,"Baku, Azerbaijan",NA,2022,Azerbaijan,Male,IM,https://ratings.fide.com/profile/13409301,40.3716367902266,49.8570932855875
"Radjabov, Teimour",13400924,1987-03-12,"Baku, Azerbaijan",NA,2001,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400924,40.3681973553853,49.8496726446784
"Safarli, Eltaj",13402129,1992-05-18,"Baku, Azerbaijan",NA,2008,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13402129,40.3710594616257,49.8333609221222
"Suleymanli, Aydin",13413937,2005-03-20,"Baku, Azerbaijan",NA,2021,Azerbaijan,Male,IM  [note 94],https://ratings.fide.com/profile/13413937,40.3869634490585,49.8287888766079
"Tahirov, Farhad",13401661,1987-04-12,"Baku, Azerbaijan",NA,2002,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401661,40.3928780154124,49.8384209721115
"Guliyev, Namig",13400363,1974-02-13,Beylagan,NA,2005,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400363,39.7807343855094,47.6377779041859
"Rasulov, Vugar",13402390,1991-04-05,"Ganja, Azerbaijan",NA,2011,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13402390,40.6801255102498,46.3580807359909
"Guseinov, Gadir",13401378,1986-05-21,"Moscow, Russia",NA,2002,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401378,55.7397171856418,37.6077704465606
"Mamedov, Nidjat",13400819,1985-04-02,Nakhchivan,NA,2006,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400819,39.2235683329213,45.4314677407751
"Sevdimaliyev, Urfan",13402463,1989-01-09,Nakhchivan,NA,2015,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13402463,39.238112031682,45.4307497279504
"Aghamaliyev, Cemil",13400215,1974-08-31,Sheki,NA,2002,Azerbaijan,Male,formerly Gamil Agamaliev  currently Turkey,https://ratings.fide.com/profile/13400215,41.1793922765984,47.1923065114072
"Durarbayli, Vasif",13402935,1992-02-24,Sumgait,NA,2010,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13402935,40.610057785486,49.6608041960925
"Iskandarov, Misratdin",13400312,1995-01-14,Sumgait,NA,2020,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13400312,40.6199653267284,49.6414364854798
"Mamedyarov, Shakhriyar",13401319,1985-04-12,Sumgait,NA,2002,Azerbaijan,Male,NA,https://ratings.fide.com/profile/13401319,40.5762538630684,49.6880222992452
"Reefat, Bin-Sattar",10200207,1974-07-25,Barguna,NA,2006,Bangladesh,Male,NA,https://ratings.fide.com/profile/10200207,22.1288406630917,90.0899859070875
"Hossain, Enamul",10200649,1981-09-30,Dhaka,NA,2008,Bangladesh,Male,NA,https://ratings.fide.com/profile/10200649,26.7162656705205,85.2068922334457
"Murshed, Niaz",10200010,1966-05-13,Dhaka,NA,1987,Bangladesh,Male,NA,https://ratings.fide.com/profile/10200010,26.6928170945759,85.1815799445858
"Rahman, Ziaur",10200037,1974-05-01,Dhaka,NA,2002,Bangladesh,Male,NA,https://ratings.fide.com/profile/10200037,26.6822541634117,85.2207893966757
"Mollah Abdullah, Al Rakib",10200444,1980-12-02,Narayanganj,NA,2007,Bangladesh,Male,also Abdullah Al Rakib,https://ratings.fide.com/profile/10200444,22.8302309163347,80.2641791999349
"Kovalyov, Anton",114987,1992-03-04,Kharkiv,NA,2008,Canada,Male,NA,https://ratings.fide.com/profile/114987,49.9775438670788,36.2448693545299
"Aleksandrov, Aleksej",13500139,1973-05-11,Kobryn,NA,1997,Belarus,Male,NA,https://ratings.fide.com/profile/13500139,52.1789350023097,24.375735808463
"Azarov, Sergei",13501470,1983-05-19,Minsk,NA,2003,Belarus,Male,NA,https://ratings.fide.com/profile/13501470,53.9132859939311,27.5449835637112
